31126,93.86,1,kWh,26.28,1, €,167.40,1, €,3
31127,93.86,1,kWh,26.28,1, €,167.40,1, €,3
31128,93.86,1,kWh,26.28,1, €,167.40,1, €,3
31129,93.86,1,kWh,26.28,1, €,167.40,1, €,3
31146,93.86,1,kWh,26.28,1, €,167.40,1, €,3
31147,93.86,1,kWh,26.28,1, €,167.40,1, €,3
31150,93.86,1,kWh,26.28,1, €,167.40,1, €,3
31153,93.86,1,kWh,26.28,1, €,167.40,1, €,3
31154,93.86,1,kWh,26.28,1, €,167.40,1, €,2
31160,93.86,1,kWh,26.28,1, €,167.40,1, €,2
31189,93.86,1,kWh,26.28,1, €,167.40,1, €,2
31193,93.86,1,kWh,26.28,1, €,167.40,1, €,3
31235,93.86,1,kWh,26.28,1, €,167.40,1, €,3
31252,93.86,1,kWh,26.28,1, €,167.40,1, €,3
32348,93.86,1,kWh,26.28,1, €,167.40,1, €,3
32349,93.86,1,kWh,26.28,1, €,167.40,1, €,3
32412,93.86,1,kWh,26.28,1, €,167.40,1, €,3
70110,93.86,1,kWh,26.28,1, €,167.40,1, €,4
70116,93.86,1,kWh,26.28,1, €,167.40,1, €,4
70117,93.86,1,kWh,26.28,1, €,167.40,1, €,4
70118,93.86,1,kWh,26.28,1, €,167.40,1, €,4
70119,93.86,1,kWh,26.28,1, €,167.40,1, €,4
70120,93.86,1,kWh,26.28,1, €,167.40,1, €,4
70121,93.86,1,kWh,26.28,1, €,167.40,1, €,4
70122,93.86,1,kWh,26.28,1, €,167.40,1, €,4
70123,93.86,1,kWh,26.28,1, €,167.40,1, €,4
70124,93.86,1,kWh,26.28,1, €,167.40,1, €,4
70125,93.86,1,kWh,26.28,1, €,167.40,1, €,4
70126,93.86,1,kWh,26.28,1, €,167.40,1, €,4
70127,93.86,1,kWh,26.28,1, €,167.40,1, €,4
70128,93.86,1,kWh,26.28,1, €,167.40,1, €,4
70129,93.86,1,kWh,26.28,1, €,167.40,1, €,4
70130,93.86,1,kWh,26.28,1, €,167.40,1, €,4
70131,93.86,1,kWh,26.28,1, €,167.40,1, €,4
70132,93.86,1,kWh,26.28,1, €,167.40,1, €,4
70133,93.86,1,kWh,26.28,1, €,167.40,1, €,4
70134,93.86,1,kWh,26.28,1, €,167.40,1, €,4
70135,93.86,1,kWh,26.28,1, €,167.40,1, €,4
70136,93.86,1,kWh,26.28,1, €,167.40,1, €,4
70137,93.86,1,kWh,26.28,1, €,167.40,1, €,4
70138,93.86,1,kWh,26.28,1, €,167.40,1, €,4
70139,93.86,1,kWh,26.28,1, €,167.40,1, €,4
70140,93.86,1,kWh,26.28,1, €,167.40,1, €,4
70141,93.86,1,kWh,26.28,1, €,167.40,1, €,4
70143,93.86,1,kWh,26.28,1, €,167.40,1, €,4
70144,93.86,1,kWh,26.28,1, €,167.40,1, €,4
70145,93.86,1,kWh,26.28,1, €,167.40,1, €,4
70146,93.86,1,kWh,26.28,1, €,167.40,1, €,4
70147,93.86,1,kWh,26.28,1, €,167.40,1, €,4
70148,93.86,1,kWh,26.28,1, €,167.40,1, €,4
70149,93.86,1,kWh,26.28,1, €,167.40,1, €,4
